Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A,CTD Absolute Salinity [g/kg],CTD Conservative Temperature,CTD Density [kg/m^3],CTD Sigma [kg/m^3],Calculated pCO2 [lab conditions],Calculated pH [lab conditions]
AR35-05,8,Gliders,59.8441666666667,-39.0945666666667,2019-08-10 20:33:00+00:00,8,*0000000000000001,2824.0,,,7.0,2.0,2019-08-10 21:10:00+00:00,849.0,3.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8741,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR35-05,8,Gliders,59.8441666666667,-39.0945666666667,2019-08-10 20:33:00+00:00,8,*0000000000000001,2824.0,,,11.0,2.0,2019-08-10 21:33:00+00:00,648.0,3.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8818,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR35-05,8,Gliders,59.8441666666667,-39.0945666666667,2019-08-10 20:33:00+00:00,8,*0000000000000001,2824.0,,,19.0,2.0,2019-08-10 21:57:00+00:00,301.0,3.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8524,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,7.0,2.0,2019-08-11 17:41:00+00:00,2498.0,3.0,2498.0,59.9659,-39.56585,1.502,3.0,1.502,3.0,,,,,34.876,34.876,,,,,,,,,,,6.665,1.0,1.0,,,,,,0.677,5.269,7.906,0,0.378,1.0,1.0,34.8847,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.044330789494,1.3290781554757551,1039.4008342511104,1039.4008342511104,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,8.0,2.0,2019-08-11 17:41:00+00:00,2498.0,3.0,2498.0,59.9659,-39.56585,1.502,3.0,1.502,3.0,,,,,34.876,34.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.044330789494,1.3290781554757551,1039.4008342511104,1039.4008342511104,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,11.0,2.0,2019-08-11 18:20:00+00:00,503.0,3.0,503.0,59.9659,-39.56585,3.725,3.0,3.725,3.0,,,,,34.882,34.882,,,,,,,,,,,6.575,1.0,1.0,,,,,,0.747,6.152,9.635,0,0.283,1.0,1.0,34.8985,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.04923800233426,3.6858577042196683,1030.0568761319096,1030.0568761319096,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,12.0,2.0,2019-08-11 18:20:00+00:00,503.0,3.0,503.0,59.9659,-39.56585,3.725,3.0,3.725,3.0,,,,,34.882,34.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04923800233426,3.6858577042196683,1030.0568761319096,1030.0568761319096,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,19.0,2.0,2019-08-11 18:31:00+00:00,81.0,3.0,81.0,59.9659,-39.56585,4.981,3.0,4.981,3.0,,,,,34.786,34.786,,,,,,,,,,,6.784,1.0,1.0,09/01,09/01,,9.0,1.0,0.741,4.345,7.34,0.111,0.506,1.0,3.0,34.7864,1.0,1.0,2297.2,1.0,1.0,2166.23,1.0,1.0,,,,,,,,,2297.2,2166.23,455.56846975505164,7.985622048456843,23.697566002575105,,102.48533788244261,,,34.95213149650262,4.970965990115974,1027.8850440325427,1027.8850440325427,1080.1590032670304,7.676956200849272
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,19.0,2.0,2019-08-11 18:31:00+00:00,81.0,3.0,81.0,59.9659,-39.56585,4.981,3.0,4.981,3.0,,,,,34.786,34.786,,,,,,,,,,,,,,,,,,,0.716,4.551,7.65,0.117,0.601,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.95213149650262,4.970965990115974,1027.8850440325427,1027.8850440325427,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,20.0,2.0,2019-08-11 18:31:00+00:00,81.0,3.0,81.0,59.9659,-39.56585,4.981,3.0,4.981,3.0,,,,,34.786,34.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.95213149650262,4.970965990115974,1027.8850440325427,1027.8850440325427,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,23.0,2.0,2019-08-11 18:37:00+00:00,12.0,3.0,12.0,59.9659,-39.56585,10.291,3.0,10.291,3.0,,,,,34.606,34.606,,,,,,,,,,,6.687,1.0,1.0,09/02,09/02,,9.0,3.0,0.32,0.926,2.793,0,0.629,1.0,3.0,34.6561,1.0,1.0,2296.0,1.0,1.0,2098.02,1.0,1.0,,,,,7.8624,25.0,1.0,1.0,2296.0,2098.02,384.02127491650816,8.096222050043002,16.658700106286858,,145.73807112174376,,,34.77074348195327,10.286702808685257,1026.6520526434892,1026.6520526434892,720.1627007863981,7.831473364453921
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,23.0,2.0,2019-08-11 18:37:00+00:00,12.0,3.0,12.0,59.9659,-39.56585,10.291,3.0,10.291,3.0,,,,,34.606,34.606,,,,,,,,,,,,,,09/03,09/03,,9.0,3.0,0.31,0.767,2.397,0,0.453,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.77074348195327,10.286702808685257,1026.6520526434892,1026.6520526434892,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,24.0,2.0,2019-08-11 18:37:00+00:00,12.0,3.0,12.0,59.9659,-39.56585,10.291,3.0,10.291,3.0,,,,,34.606,34.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.77074348195327,10.286702808685257,1026.6520526434892,1026.6520526434892,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,7.0,2.0,2019-08-12 09:11:00+00:00,2497.0,3.0,2497.0,59.7183,-39.3368,2.527,3.0,2.527,3.0,,,,,34.924,34.924,,,,,,,,,,,6.418,1.0,1.0,,,,,,,,,,,,,34.9252,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.092548359147536,2.3331098205053786,1039.2863453732714,1039.2863453732714,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,8.0,2.0,2019-08-12 09:11:00+00:00,2497.0,3.0,2497.0,59.7183,-39.3368,2.527,3.0,2.527,3.0,,,,,34.924,34.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.092548359147536,2.3331098205053786,1039.2863453732714,1039.2863453732714,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,11.0,2.0,2019-08-12 09:49:00+00:00,501.0,3.0,501.0,59.7183,-39.3368,3.577,3.0,3.577,3.0,,,,,34.873,34.873,,,,,,,,,,,6.63,1.0,1.0,,,,,,,,,,,,,34.8741,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.04019309455414,3.5388428361340836,1030.0572147030239,1030.0572147030239,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,12.0,2.0,2019-08-12 09:49:00+00:00,501.0,3.0,501.0,59.7183,-39.3368,3.577,3.0,3.577,3.0,,,,,34.873,34.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04019309455414,3.5388428361340836,1030.0572147030239,1030.0572147030239,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,19.0,2.0,2019-08-12 10:00:00+00:00,91.0,3.0,91.0,59.7183,-39.3368,5.275,3.0,5.275,3.0,,,,,34.88,34.88,,,,,,,,,,,6.604,1.0,1.0,,,,,,,,,,,,,34.8871,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.04664612577628,5.262609440517915,1027.970557048163,1027.970557048163,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,20.0,2.0,2019-08-12 10:00:00+00:00,91.0,3.0,91.0,59.7183,-39.3368,5.275,3.0,5.275,3.0,,,,,34.88,34.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04664612577628,5.262609440517915,1027.970557048163,1027.970557048163,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,23.0,2.0,2019-08-12 10:05:00+00:00,30.0,3.0,30.0,59.7183,-39.3368,8.24,3.0,8.24,3.0,,,,,34.7,34.7,,,,,,,,,,,6.675,1.0,1.0,10/01,10/01,,9.0,3.0,,,,,,,,34.7235,1.0,1.0,2298.6,1.0,1.0,2120.44,1.0,1.0,,,,,7.8145,25.0,1.0,1.0,2298.5999999999995,2120.44,392.3890523424753,8.07979710929708,18.22147624719136,,132.62321649955786,,,34.86503612704415,8.232593372259293,1027.141449513969,1027.141449513969,807.5706234634712,7.78880002595518
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,23.0,2.0,2019-08-12 10:05:00+00:00,30.0,3.0,30.0,59.7183,-39.3368,8.24,3.0,8.24,3.0,,,,,34.7,34.7,,,,,,,,,,,,,,10/02,10/02,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86503612704415,8.232593372259293,1027.141449513969,1027.141449513969,,
AR35-05,10,GI03FLMB,59.7183166666667,-39.3368,2019-08-12 08:22:00+00:00,10,*0000000000000001,2817.0,,,24.0,2.0,2019-08-12 10:05:00+00:00,30.0,3.0,30.0,59.7183,-39.3368,8.24,3.0,8.24,3.0,,,,,34.7,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86503612704415,8.232593372259293,1027.141449513969,1027.141449513969,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,1.0,1.0,2019-08-15 09:55:04+00:00,2533.267,1.0,2494.343,59.9689,-39.58134,1.8148,3.0,1.8155,1.0,3.160451,3.0,3.159681,1.0,34.8885,34.8783,5.3024,3.0,7.65204,,,-0.0082,100.2063,3.0,,,6.821,1.0,1.0,,,,,,,,,,,,,34.8879,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.051791763419736,1.632639408835673,1039.5202306414574,1039.5202306414574,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,2.0,1.0,2019-08-15 10:02:53+00:00,2338.85,1.0,2303.956,59.96776,-39.58303,2.63,3.0,2.631,1.0,3.225701,3.0,3.22518,1.0,34.9049,34.8976,5.7475,3.0,7.49679,,,-0.0088,100.2192,3.0,,,6.536,1.0,1.0,,,,,,,,,,,,,34.9095,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.069592635685076,2.449832849402444,1038.5482525396137,1038.5482525396137,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,3.0,1.0,2019-08-15 10:10:24+00:00,2131.763,1.0,2100.974,59.96702,-39.58482,3.053,3.0,3.0543,1.0,3.25657,3.0,3.255982,1.0,34.9256,34.9171,5.4781,3.0,7.41779,,,-0.0136,100.3395,3.0,,,6.356,1.0,1.0,,,,,,,,,,,,,34.926,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.08962376131956,2.8845593384836374,1037.5766113207192,1037.5766113207192,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,4.0,1.0,2019-08-15 10:19:46+00:00,1825.686,1.0,1800.609,59.96624,-39.58635,3.3554,3.0,3.357,1.0,3.270859,3.0,3.270302,1.0,34.9235,34.9151,5.3154,3.0,7.36304,,,-0.0127,100.3189,3.0,,,6.343,1.0,1.0,,,,,,,,,,,,,34.9272,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.08735336680425,3.2106001962790756,1036.1587406738845,1036.1587406738845,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,5.0,1.0,2019-08-15 10:27:08+00:00,1522.396,1.0,1502.56,59.9653,-39.58724,3.5199,3.0,3.5212,1.0,3.271662,3.0,3.271088,1.0,34.9078,34.8996,5.4985,3.0,7.33427,,,-0.0123,100.3093,3.0,,,6.46,1.0,1.0,,,,,,0.709,4.178,6.587,0,0.115,1.0,1.0,34.9095,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.07149636559955,3.400089718243697,1034.7562363054521,1034.7562363054521,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,6.0,1.0,2019-08-15 10:34:43+00:00,1217.884,1.0,1202.882,59.96437,-39.58815,3.4121,3.0,3.4137,1.0,3.246612,3.0,3.246022,1.0,34.8762,34.8675,5.2207,3.0,7.35518,,,-0.0122,100.3049,3.0,,,6.727,1.0,1.0,,,,,,,,,,,,,34.8768,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.039422980944856,3.320089995826238,1033.3637984835952,1033.3637984835952,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,7.0,1.0,2019-08-15 10:40:57+00:00,1012.547,1.0,1000.564,59.96394,-39.58902,3.4854,3.0,3.487,1.0,3.244882,3.0,3.244296,1.0,34.8829,34.8742,5.8089,3.0,7.34169,,,-0.0112,100.2814,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.046082987810095,3.4093509441758147,1032.4230624883915,1032.4230624883915,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,8.0,1.0,2019-08-15 10:46:07+00:00,860.236,1.0,850.364,59.96338,-39.58998,3.5149,3.0,3.5166,1.0,3.240874,3.0,3.240365,1.0,34.8826,34.8748,5.5744,3.0,7.33642,,,-0.011,100.2762,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04618287291759,3.450724826972009,1031.7222421834058,1031.7222421834058,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,9.0,1.0,2019-08-15 10:50:45+00:00,759.114,1.0,750.584,59.96294,-39.59043,3.5775,3.0,3.5794,1.0,3.242489,3.0,3.241935,1.0,34.8883,34.8796,5.4877,3.0,7.32495,,,-0.01,100.2504,3.0,,,6.684,1.0,1.0,,,,,,,,,,,,,34.8906,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.051392253909874,3.5207605532845316,1031.2547809514797,1031.2547809514797,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,10.0,1.0,2019-08-15 10:55:49+00:00,607.234,1.0,600.629,59.96228,-39.59102,3.7112,3.0,3.7126,1.0,3.248307,3.0,3.247761,1.0,34.8955,34.8876,5.4256,3.0,7.30077,,,-0.0087,100.2167,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.058903250926434,3.664894267895273,1030.5465127881685,1030.5465127881685,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,11.0,1.0,2019-08-15 11:00:05+00:00,506.465,1.0,501.078,59.96193,-39.59113,3.7789,3.0,3.7802,1.0,3.249467,3.0,3.248959,1.0,34.8909,34.8835,4.9731,3.0,7.28901,,,-0.007,100.1764,3.0,,,6.558,1.0,1.0,,,,,,0.735,4.518,7.905,0,0.103,1.0,1.0,34.8985,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.05446570259364,3.739818950944615,1030.0707596663076,1030.0707596663076,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,12.0,1.0,2019-08-15 11:05:06+00:00,354.758,1.0,351.113,59.96152,-39.59094,3.7984,3.0,3.8,1.0,3.242558,3.0,3.241936,1.0,34.8689,34.8599,5.5759,3.0,7.28663,,,-0.0036,100.0909,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.031413720509505,3.77081458271727,1029.3493997097812,1029.3493997097812,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,13.0,1.0,2019-08-15 11:09:17+00:00,252.463,1.0,249.931,59.96155,-39.59111,4.1055,3.0,4.107,1.0,3.265663,3.0,3.265409,1.0,34.8724,34.8678,5.3349,3.0,7.23249,,,-0.0018,100.0457,3.0,,,6.58,1.0,1.0,,,,,,,,,,,,,34.8808,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.037069675733285,4.084233095134378,1028.8461183005934,1028.8461183005934,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,14.0,1.0,2019-08-15 11:12:56+00:00,182.171,1.0,180.374,59.9618,-39.59096,4.3712,3.0,4.373,1.0,3.286852,3.0,3.286234,1.0,34.8791,34.8699,5.0295,3.0,7.18604,,,-0.0003,100.0071,3.0,,,6.63,1.0,1.0,,,,,,,,,,,,,34.8623,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.041369995374914,4.354521351784977,1028.49407465218,1028.49407465218,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,15.0,1.0,2019-08-15 11:15:56+00:00,152.096,1.0,150.606,59.96162,-39.59102,4.4688,3.0,4.47,1.0,3.292176,3.0,3.291902,1.0,34.8548,34.8503,5.2036,3.0,7.17039,,,0.0038,99.904,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0192577174596,4.454090082647459,1028.3262990668004,1028.3262990668004,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,16.0,1.0,2019-08-15 11:18:44+00:00,131.237,1.0,129.959,59.96132,-39.59121,4.9004,3.0,4.9026,1.0,3.333544,3.0,3.332899,1.0,34.8952,34.8854,6.3213,3.0,7.09493,,,0.003,99.9246,3.0,,,6.487,1.0,1.0,,,,,,0.947,6.416,12.688,0,0.023,1.0,1.0,34.8957,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.057129032892796,4.886467547339332,1028.2095251127598,1028.2095251127598,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,17.0,1.0,2019-08-15 11:21:56+00:00,101.794,1.0,100.809,59.96124,-39.59138,4.7651,3.0,4.7685,1.0,3.313608,3.0,3.313215,1.0,34.8208,34.8126,6.5595,3.0,7.12139,,,0.0076,99.8112,3.0,,,6.714,1.0,1.0,,,,,,,,,,,,,34.8229,1.0,1.0,2299.3,1.0,1.0,2169.76,1.0,1.0,,,,,7.6991,25.0,1.0,1.0,2299.3,2169.76,453.82030237143147,8.012365504852285,23.784041500653586,,102.03489442266431,,,34.9830979926752,4.755136057100062,1028.030715970179,1028.030715970179,1087.2430856389865,7.674859909012583
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,18.0,1.0,2019-08-15 11:22:13+00:00,102.186,1.0,101.198,59.96124,-39.59138,4.7621,3.0,4.7652,1.0,3.313379,3.0,3.312894,1.0,34.8211,34.8122,6.5535,3.0,7.12189,,,0.0101,99.7492,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.983048789293825,4.751961897224277,1028.0328567884826,1028.0328567884826,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,19.0,1.0,2019-08-15 11:24:43+00:00,81.883,1.0,81.095,59.96132,-39.59149,4.9264,3.0,4.9276,1.0,3.324413,3.0,3.323713,1.0,34.7882,34.7788,6.5798,3.0,7.09564,,,0.0128,99.6807,3.0,,,6.759,1.0,1.0,11/01,11/01,,9.0,1.0,0.731,4.469,11.12,0.095,0.774,1.0,3.0,34.7883,1.0,1.0,2297.5,1.0,1.0,2167.34,1.0,1.0,,,,,,,,,2297.5,2167.34,456.96816783116117,7.984291373646527,23.816248557694458,,102.01050023232978,,,34.9496248874529,4.917003567013651,1027.8934953640794,1027.8934953640794,1085.936131207332,7.674936931532035
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,19.0,1.0,2019-08-15 11:24:43+00:00,81.883,1.0,81.095,59.96132,-39.59149,4.9264,3.0,4.9276,1.0,3.324413,3.0,3.323713,1.0,34.7882,34.7788,6.5798,3.0,7.09564,,,0.0128,99.6807,3.0,,,,,,,,,,,0.733,3.732,7.304,0.084,0.328,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9496248874529,4.917003567013651,1027.8934953640794,1027.8934953640794,,
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,20.0,1.0,2019-08-15 11:28:26+00:00,40.954,1.0,40.564,59.96132,-39.59169,7.8832,3.0,7.8962,1.0,3.585993,3.0,3.586136,1.0,34.718,34.7065,6.4942,3.0,6.62928,,,0.083,97.9474,3.0,,,6.681,1.0,1.0,11/02,11/02,,9.0,1.0,0.52,2.258,5.242,0,1.052,1.0,1.0,34.7148,1.0,1.0,2299.0,1.0,1.0,2128.68,1.0,1.0,,,,,,,,,2299.0,2128.6799999999994,406.0065030833304,8.038727574801445,19.081260484999294,,127.34055603064856,,,34.87759464420864,7.881197736617509,1027.2540472190137,1027.2540472190137,848.003611960399,7.770290482873228
AR35-05,11,"GI01SUMO, GI02HYPM, Gliders",59.9685,-39.5785,2019-08-15 09:06:49+00:00,11,*0000000000000101,2650.0,D:\Data\ar35-05011.hex,*0000000000000100,21.0,1.0,2019-08-15 11:31:17+00:00,21.04,1.0,20.841,59.96112,-39.59176,10.2937,3.0,10.2937,1.0,3.80344,3.0,3.802476,1.0,34.6511,34.6414,6.2668,3.0,6.28882,,,0.0934,97.6912,3.0,,,6.484,1.0,1.0,,,,,,,,,,,,,34.6501,1.0,1.0,2296.8,1.0,1.0,2097.52,1.0,1.0,,,,,7.8576,25.0,1.0,1.0,2296.7999999999997,2097.52,380.64276571977484,8.09085344539395,16.51124774217776,,146.77761852181607,,,34.810979753772855,10.287590195938867,1026.7236825285838,1026.7236825285838,714.0572963934221,7.834859623785628
